,Fecha,PRECIO,DEMANDA,hidraulica,turbinacion bombeo,NUCLEAR,carbon,diesel,turbina de gas,turbina de vapor,ciclo combinado,eolica,solar fotovoltaica,solar termica,otras renovables,cogeneracion
3047,5/6/2019,53.05041667,691903.437,73665.167,14037.539,145046.085,11062.989,7206.576,1745.663,7193.697,171677.306,60961.399,31259.265,5493.634,7983.408,83664.747
3048,5/7/2019,51.92208333,715282.519,64011.313,10525.87,144884.419,12470.278,6879.05,2024.517,6901.783,162999.279,145052.727,27550.248,3783.963,8268.969,82159.787
3049,5/8/2019,38.7675,720383.459,54963.716,3122.71,144699.638,10967.199,6896.959,1732.729,5726.4,67903.043,318777.166,20354.107,16490.645,8210.898,78979.078
3050,5/9/2019,45.79666667,719680.488,63183.312,3586.395,144820.044,12201.473,7186.425,1677.866,6786.31,109824.226,237077.279,22038.567,27395.281,8557.728,82079.93
3051,5/10/2019,47.26541667,714705.845,72405.099,7626.51,126775.276,11956.353,7215.987,1662.138,5468.275,120592.357,195633.281,28533.852,30405.754,8778.579,82580.917
3052,5/11/2019,49.91625,642893.955,64702.823,4555.877,121236.715,10374.021,6620.838,1575.826,6175.819,127440.658,133953.412,33025.316,31023.162,8823.903,80677.867
3053,5/12/2019,36.42041667,589066.207,55055.521,3476.485,121565.661,10441.406,6934.42,978.381,6356.578,65069.312,192714.238,34278.689,30671.872,8565.15,76588.265
3054,5/13/2019,47.12708333,693194.342,60718.191,2773.093,121584.119,11600.895,7429.253,1866.122,8138.99,125243.732,187484.145,34212.127,29476.716,8938.155,82736.227
3055,5/14/2019,51.41791667,716085.91,64041.88,9762.037,121106.366,17490.561,7163.89,2372.942,7904.107,165746.832,105118.244,34388.827,26597.262,9539.697,83265.333
3056,5/15/2019,53.69791667,714403.802,69272.652,7353.13,120873.057,12563.479,7684.874,1848.275,7971.625,178769.198,94796.397,32992.968,18455.082,9949.924,82129.394
3057,5/16/2019,52.4725,723608.482,62899.421,2310.292,121005.643,12143.685,7817.332,1787.274,8058.531,158682.27,134355.199,30982.792,21493.772,10144.604,83622.928
3058,5/17/2019,43.79791667,708065.687,60631.528,3350.274,121409.354,11404.646,7463.448,1752.515,6442.111,88548.667,290457.028,24251.893,24134.435,10100.686,85224.864
3059,5/18/2019,46.305,633581.663,59441.201,2042.019,120962.113,10531.463,6596.301,1418.45,5817.943,118766.255,154866.224,28750.21,21183.172,9957.34,82030.502
3060,5/19/2019,48.06791667,588760.853,55578.994,1211.468,121907.782,14393.836,6091.18,735.252,4826.177,124938.479,136833.023,29460.384,23241.857,9954.141,80139.369
3061,5/20/2019,52.74291667,693266.151,67545.69,6310.991,121750.812,19805.4,7417.974,1413.57,6420.466,186962.06,71869.311,30683.941,25958.354,9743.087,83806.006
3062,5/21/2019,56.86708333,712267.526,71209.292,1771.765,121587.089,25227.022,7567.566,1184.694,6370.032,192442.207,54727.001,29247.273,23187.394,9671.553,82456.87
3063,5/22/2019,57.985,720423.021,69398.246,4912.852,121458.673,25559.002,7054.009,1665.178,6322.073,210476.031,46317.891,32314.707,20095.854,9966.644,82097.518
3064,5/23/2019,57.06916667,721032.652,63438.745,1012.401,120975.818,23011.363,6399.23,2034.274,5635.741,205982.489,65742.387,28363.914,27302.255,9207.325,83473.002
3065,5/24/2019,49.04333333,717689.342,62559.649,235.244,121126.542,11096.81,6482.176,2074.747,5873.585,153629.538,176363.616,24121.522,29898.752,9260.618,84944.765
3066,5/25/2019,42.32916667,641713.37,60768.033,2513.12,121235.107,11121.727,6263.397,1445.491,5282.086,103547.308,182498.541,29659.461,27753.795,9882.811,81475.163
3067,5/26/2019,40.46208333,586295.917,58032.001,2194.161,121257.83,10709.239,6742.202,1093.766,5442.65,98951.785,149843.307,32895.214,29719.423,9706.695,80641.04
3068,5/27/2019,50.67375,703430.222,61808.632,538.776,121088.315,15886.799,7334.196,2125.719,5839.771,163812.712,139807.514,31911.641,30997.933,9953.677,84007.057
3069,5/28/2019,47.1625,723789.614,56754.222,1464.139,120477.269,17618.734,7425.853,1720.092,6262.583,148069.538,196855.971,32714.332,31334.798,9787.847,84317.215
3070,5/29/2019,47.57791667,722528.761,57183.699,284.116,120422.755,17767.825,8378.453,1752.255,7269.169,151466.334,184736.63,34247.847,30406.626,9629.106,84384.054
3071,5/30/2019,52.41333333,719643.509,57605.918,982.857,120437.106,17761.869,8328.83,1033.233,6169.602,190103.408,113844.689,34859.121,31406.729,9210.53,83468.908
3072,5/31/2019,55.32166667,720746.446,64320.3,5055.221,120458.863,17915.453,8392.507,1788.794,7411.897,202213.93,86885.722,34692.854,30347.949,9503.981,83397.352
3073,6/1/2019,53.28458333,657113.804,56254.449,2426.661,120099.072,16776.623,8917.027,1146.194,6845.278,182997.24,75785.423,34174.825,28256.641,9515.219,80493.495
3074,6/2/2019,47.8175,610135.227,51465.516,1367.719,119661.946,15653.774,8461.08,746.083,6098.583,175916.493,94142.741,32628.105,25230.839,9288.709,78100.942
3075,6/3/2019,53.415,727199.819,59856.073,2231.815,119396.423,26420.351,7661.098,1553.864,7018.641,220473.215,88980.388,31452.865,23037.056,8957.304,83248.396
3076,6/4/2019,49.41125,743803.929,52352.923,727.58,119308.478,26747.948,7395.229,1760.896,7359.222,201061.32,171127.071,31756.927,27192.749,9272.825,82896.088
3077,6/5/2019,45.32708333,728013.427,58058.208,933.914,121727.697,27480.081,7728.57,1452.239,6285.257,168796.315,185346.532,29243.288,28477.979,9462.552,84243.89
3078,6/6/2019,43.82416667,718987.495,55199.435,2431.954,126789.698,22037.962,7444.349,1761.279,6752.665,152677.642,183876.465,32690.166,25533.826,9531.319,83171.195
3079,6/7/2019,41.63458333,716146.113,60463.371,4061.715,132281.457,18599.472,7375.791,2425.08,7116.356,150055.98,180640.476,32896.211,26646.835,9618.902,84212.831
3080,6/8/2019,46.25208333,649114.105,50295.851,138.534,140796.18,10810.533,7447.339,1216.3,5651.239,165353.914,112102.006,31065.082,29884.996,9721.466,81222.209
3081,6/9/2019,43.29833333,598266.091,50135.334,955.888,155067.011,10949.868,6596.608,846.686,4843.315,133199.651,95883.464,30001.486,28402.314,9307.373,78395.179
3082,6/10/2019,44.73708333,692985.625,48870.419,371.818,165167.376,11155.082,7207.751,1354.321,5519.477,136810.273,128347.988,32968.462,29481.858,8959.855,82272.638
3083,6/11/2019,45.36291667,717613.036,54506.872,1651.579,167071.303,16405.117,7807.52,1598.498,6438.019,144128.793,138083.681,28412.874,24164.852,8289.202,84376.233
3084,6/12/2019,48.20416667,721685.017,55155.489,853.913,167919.448,17233.775,8418.212,1385.59,7149.939,176304.756,82207.969,33383.165,21882.946,8880.538,84990.109
3085,6/13/2019,46.405,725139.71,44545.289,638.597,167859.09,16002.229,8957.371,1439.769,8008.222,168719.237,121844.747,30319.892,29748.69,9283.041,84559.031
3086,6/14/2019,46.3225,720698.739,48348.787,1928.076,167630.203,17276.792,8436.064,1604.635,7442.584,175488.102,108488.033,31278.012,18242.395,9839.02,84615.148
3087,6/15/2019,45.56625,649826.641,45666.576,180.684,165812.868,14892.178,8703.784,1626.98,6605.229,153268.473,86158.761,34723.276,25433.427,9376.79,80180.63
3088,6/16/2019,46.67291667,600853.162,48807.575,435.545,167593.11,16503.978,8624.712,914.69,6308.538,146685.723,53912.221,28108.077,25140.775,9189.506,78540.21
3089,6/17/2019,49.19,714625.455,55000.143,1789.55,167544.313,18462.658,9000.11,2232.548,7859.572,222583.575,52809.708,32941.014,18688.114,9264.177,82403.672
3090,6/18/2019,46.6025,736896.725,46470.206,456.939,167672.419,13380.584,9317.811,2439.692,7289.975,163913.157,157790.346,32279.501,22774.77,9808.811,82319.789
3091,6/19/2019,46.99166667,741912.133,62466.912,4577.724,167489.586,16978.168,9151.859,2201.77,7733.771,211413.859,90854.621,28860.991,28761.882,9784.632,81508.643
3092,6/20/2019,46.56791667,735488.271,55410.277,1447.541,167391.004,16467.066,9086.81,2118.174,7727.199,204087.463,92338.776,28698.947,28502.119,9958.915,82034.429
3093,6/21/2019,46.7225,732798.844,61193.978,4855.854,167705.439,14752.894,8683.96,2128.697,6906.149,200887.182,86171.806,30982.207,25530.591,10213.461,82852.158
3094,6/22/2019,46.18875,672993.652,49615.94,925.537,167609.943,14402.743,8829.293,1550.729,7087.637,174787.842,83623.107,31424.214,16616.789,10045.472,78704.831
3095,6/23/2019,42.6075,623379.646,47906.34,2507.265,167254.066,14736.684,8469.756,1188.286,6707.163,121382.806,112936.566,29751.568,25482.725,9571.006,75817.996
3096,6/24/2019,48.61041667,688002.526,53653.303,1130.086,167204.509,15434.96,9102.644,1614.544,7557.979,202469.156,80547.904,26575.03,27844.704,9162.235,78675.339
