"","Andalucía","Aragón","Asturias, Principado de","Balears, Illes","Canarias","Cantabria","Castilla y León","Castilla - La Mancha","Cataluña","Comunitat Valenciana","Extremadura","Galicia","Madrid, Comunidad de","Murcia, Región de","Navarra, Comunidad Foral de","País Vasco","Rioja, La"
"X2013M04"," 96.110"," 88.783"," 90.799","116.442","112.230","101.404","100.430"," 94.587"," 94.234"," 85.076"," 94.925","101.636"," 97.688"," 83.991"," 85.744"," 95.804","119.544"
"X2013M03"," 94.863"," 90.197"," 87.287","115.386","110.547"," 94.702"," 95.500"," 92.225"," 91.300"," 81.324"," 86.318"," 94.011"," 89.195"," 76.348"," 83.168"," 95.040","109.949"
"X2013M02"," 92.680"," 88.738"," 88.797","111.929","103.180"," 91.243"," 94.733"," 88.264"," 90.565"," 80.607"," 74.588"," 94.331"," 91.542"," 77.524"," 84.488"," 94.089","110.804"
"X2013M01"," 99.346"," 86.842"," 93.693","108.626","111.573"," 93.001"," 95.561"," 91.709"," 93.176"," 84.167"," 75.315"," 97.743"," 91.573"," 78.985"," 85.433"," 94.128","113.926"
"X2012M12"," 96.844"," 82.005"," 83.168","102.502","107.468"," 82.449"," 93.196"," 88.629"," 76.983"," 72.947"," 71.232"," 84.520"," 87.832"," 73.708"," 64.860"," 82.798"," 96.413"
"X2012M11"," 98.177"," 92.279"," 89.102","105.204","117.789"," 92.152","111.888","100.471"," 90.493"," 85.442"," 87.321"," 94.098"," 96.170"," 83.586"," 87.460","102.050","121.541"
"X2012M10","104.122"," 94.517"," 98.524","121.657","126.889"," 96.813","110.126","100.017"," 99.262"," 86.666"," 93.955"," 98.438"," 96.930"," 91.286"," 94.169","104.537","125.525"
"X2012M09"," 97.448"," 91.463"," 87.954","134.839","117.283"," 91.399"," 99.779"," 94.741"," 88.848"," 82.748","107.128"," 91.976"," 92.702"," 82.828"," 88.368"," 94.924","111.826"
"X2012M08"," 99.600"," 85.953"," 84.709","160.473","124.666"," 83.649"," 87.216"," 89.584"," 70.761"," 67.270","112.428"," 86.143"," 71.998"," 84.778"," 61.117"," 65.213"," 84.685"
"X2012M07","113.351","106.844"," 96.452","156.513","124.750"," 93.941","107.055","107.562"," 98.644"," 91.567"," 99.725"," 98.211","101.519"," 93.790"," 82.133","105.805","123.632"
"X2012M06","108.238","103.234"," 98.860","144.834","120.342","100.227","108.520"," 98.558"," 97.062"," 89.686"," 80.756"," 92.587"," 96.278"," 91.923"," 94.885","106.083","111.034"
"X2012M05","105.442","104.738","100.395","125.941","112.709","107.792","113.358"," 99.960"," 97.173"," 90.160"," 83.196"," 98.357","105.204"," 88.767"," 95.049","107.546","128.763"
"X2012M04"," 97.960"," 87.022"," 89.495","117.243","108.935"," 94.233","100.716"," 91.317"," 86.885"," 77.952"," 82.049"," 89.344"," 89.163"," 79.652"," 76.808"," 90.683","107.556"
"X2012M03","113.768","100.920"," 98.984","116.090","121.881","109.012","115.016"," 98.276"," 98.775"," 89.181"," 95.270"," 98.626","100.262"," 88.033"," 89.961","108.773","122.161"
"X2012M02","106.607","105.207","101.084","141.796","119.741"," 94.354","115.516"," 98.708"," 95.378"," 85.545"," 97.697"," 91.865"," 97.151"," 84.178"," 90.283","106.356","121.262"
"X2012M01","120.097"," 95.186"," 96.310","122.880","117.725"," 91.241","113.324"," 96.787"," 90.639"," 79.823"," 96.917"," 93.130"," 92.981"," 86.724"," 86.744"," 99.732","107.761"
"X2011M12","115.067"," 83.247"," 86.234","119.213","125.688"," 85.943","104.801"," 98.958"," 85.256"," 79.942","111.867"," 88.309"," 97.147"," 85.639"," 70.047"," 93.718","108.749"
"X2011M11","111.647","100.507"," 97.268","105.230","126.114"," 99.945","127.792","108.039"," 96.383"," 88.816","106.262","104.212","103.790"," 92.370"," 96.282","109.929","126.946"
"X2011M10","107.834"," 97.172","104.479","126.017","122.109"," 99.913","120.585","105.159"," 95.474"," 87.278"," 98.272"," 95.080","100.212"," 86.726"," 90.176","105.515","127.297"
"X2011M09","115.079","106.764","104.164","145.927","124.255","104.642","120.981","106.779","102.531"," 93.022","116.187"," 98.676","102.171"," 96.135","100.036","108.699","122.737"
"X2011M08","104.753"," 79.169"," 91.742","159.680","129.765"," 83.365"," 93.865"," 93.404"," 73.304"," 68.606","131.087"," 87.555"," 74.959"," 83.608"," 68.372"," 68.621"," 96.425"
"X2011M07","120.392","111.642"," 96.895","163.632","131.357"," 94.580","115.554","113.657","104.529"," 95.115","104.623"," 96.990","106.217"," 99.891"," 81.685","110.865","121.233"
"X2011M06","113.944","113.938","103.143","144.797","127.686"," 99.919","120.080","115.974","101.434"," 96.860","104.576","101.042","110.034","100.514","100.676","113.607","130.602"
"X2011M05","104.513","106.180","106.177","143.940","123.342","103.940","125.235","107.882","102.922"," 95.012","106.387","100.840","106.580"," 98.324","105.010","113.875","136.563"
"X2011M04","101.651"," 99.020"," 98.176","118.086","116.954","100.729","112.575","105.514"," 90.092"," 85.910","102.635"," 99.131","104.989"," 82.470"," 86.801"," 96.141","110.482"
"X2011M03","118.932","107.293","112.479","137.973","124.261","109.319","133.263","120.501","106.654","100.988","119.971","117.646","120.054"," 97.675","107.738","116.204","144.958"
"X2011M02","112.508"," 98.682","102.232","130.197","111.052"," 99.206","115.262","107.732"," 94.007"," 90.559","103.886","104.353","108.532"," 94.819"," 99.669","108.128","136.442"
"X2011M01","114.883"," 93.419"," 98.067","128.756","114.608"," 94.264","112.664","102.650"," 91.629"," 83.926","101.761","104.674","107.359"," 97.893"," 88.882"," 94.563","126.987"
