Fecha,Carbón,Motores diésel,Turbina de gas,Ciclo combinado,Eólica,Solar fotovoltaica,Otras renovables,Cogeneración,Residuos no renovables,Residuos renovables,Generación total
07-2019,173446.103,68501.687,72469.969,160984.493,230.366,12487.767,98.985,1194.464,14442.4645,14442.4645,518298.7629999999
08-2019,257561.226,69004.181,70419.169,81695.145,347.945,12245.136,83.48,2848.757,12562.136,12562.136,519329.311
09-2019,239896.043,55203.151,45651.694,37844.388,513.735,10047.868,12.656,2874.058,13691.565,13691.565,419426.72300000006
10-2019,190859.296,42556.729,27936.013,49054.729,402.117,9134.299,99.426,2809.865,14954.476,14954.476,352761.42600000004
11-2019,128513.947,27172.975,28760.522,98892.425,495.183,6297.325,92.592,3330.281,13874.806,13874.806,321304.862
12-2019,137717.301,19439.288,20411.356,97225.686,445.285,5905.565,181.247,3776.086,8548.0965,8548.0965,302198.0069999999
01-2020,-3177.348,25163.324,21825.088,247428.456,370.826,5934.386,201.474,4038.097,9261.923,9261.923,320308.14900000003
02-2020,-1357.415,20211.247,17386.635,226173.81,339.276,8736.128,81.622,3744.991,6095.533,6095.533,287507.36
03-2020,-1701.627,15845.757,18912.103,223688.28,533.154,9208.55,26.787,3475.991,10531.687,10531.687,291052.36899999995
04-2020,-1684.542,18686.546,9921.75,190731.783,241.702,10827.855,15.416,2759.617,4815.29,4815.29,241130.707
05-2020,-1802.096,20180.29,9512.925,192660.736,352.562,12909.149,2.383,2681.413,5365.594,5365.594,247228.55000000005
06-2020,-1280.83,17902.134,15970.385,191225.995,220.432,12248.321,59.751,2596.936,14316.092,14316.092,267575.30799999996
07-2020,-1119.569,32575.167,33700.388,258526.466,221.35,12754.592,52.531,2331.932,10772.0165,10772.0165,360586.89
08-2020,-1126.831,50813.603,37145.945,260887.706,208.655,12079.867,50.303,1922.374,10810.6415,10810.6415,383602.90500000014
09-2020,68615.077,26494.543,15232.726,135308.918,189.775,10546.029,2.81,2047.806,14376.298,14376.298,287190.28
10-2020,69531.804,17677.692,8933.627,141135.882,327.893,9724.975,27.317,2333.356,6238.7215,6238.7215,262169.989
11-2020,18689.83,18608.251,10474.845,185015.245,348.844,6760.523,69.146,2521.382,12812.825,12812.825,268113.716
12-2020,78075.038,22109.065,11540.551,159353.569,286.454,6736.717,39.86,3369.288,8605.2265,8605.2265,298720.995
01-2021,-632.692,27196.95,18542.487,260272.045,277.963,8589.705,57.757,4065.943,7151.5275,7151.5275,332673.2130000001
02-2021,-606.159,18940.327,7665.76,187465.463,159.483,9513.097,76.888,3641.699,10723.705,10723.705,248303.968
03-2021,-651.559,14238.515,13135.553,217478.648,306.115,13295.219,137.787,3995.499,10093.0875,10093.0875,282121.95200000005
04-2021,-591.361,18127.456,8307.292,208530.593,294.669,14715.46,105.74,3220.881,7539.3055,7539.3055,267789.34099999996
05-2021,-1103.416,21292.151,7704.742,203812.516,189.554,22208.132,118.546,2571.581,6023.664,6023.664,268841.134
06-2021,41953.424,41481.223,18862.038,240611.174,94.217,21169.705,100.444,3062.163,13481.942,13481.942,394298.272
07-2021,9292.719,59750.929,27349.31,408794.449,106.017,22969.893,96.151,4085.694,11473.026,11473.026,555391.2139999999
08-2021,-728.756,64925.801,38115.422,437913.783,201.281,21414.781,84.413,3930.927,13319.9895,13319.9895,592497.6309999999
09-2021,-549.974,54894.998,38682.189,367240.808,274.448,17676.382,81.382,4258.279,11972.5045,11972.5045,506503.5209999999
10-2021,-583.277,41696.063,18871.456,312103.406,269.748,16811.54,243.059,4173.934,6414.6,6414.6,406415.129
11-2021,-582.067,21566.173,15480.57,305437.515,61.364,8817.892,240.076,1412.168,13868.3715,13868.3715,380170.434
12-2021,-614.248,26795.768,11539.384,332591.201,101.25,11153.282,230.462,3518.908,8866.093,8866.093,403048.19299999997
01-2022,-627.467,31928.664,14287.952,350086.611,215.638,14437.344,285.244,3401.005,9871.15,9871.15,433757.29099999997
02-2022,-580.127,27287.796,12016.398,298622.585,228.24,17860.307,280.952,3068.407,5441.4375,5441.4375,369667.433
03-2022,-668.873,26627.29,16590.53,331001.335,338.46,13720.819,291.181,3993.204,9663.32,9663.32,411220.58600000007
04-2022,-605.483,38583.128,16923.745,307429.032,239.788,22448.584,165.315,1838.677,7805.005,7805.005,402632.79600000003
05-2022,-1030.237,43134.307,26908.512,317555.955,160.791,27351.011,166.327,1946.125,11846.1975,11846.1975,439885.18600000005
06-2022,29141.857,52984.196,32914.068,367587.881,61.459,29267.84,111.179,1536.342,13186.323,13186.323,539977.468
07-2022,50189.168,61726.427,59770.275,396959.791,30.289,33069.572,95.128,1171.973,16160.6655,16160.6655,635333.9540000001
08-2022,5265.315,64896.77,67572.284,456377.207,32.22,29681.865,56.753,51.334,13672.3105,13672.3105,651278.3690000001
09-2022,-603.806,36801.353,56444.971,377073.827,12.76,25097.79,71.924,2037.313,13581.6645,13581.6645,524099.461
10-2022,-613.232,18070.983,42597.77,297321.31,2.853,23675.008,96.992,1826.864,11230.755,11230.755,405440.0580000001
11-2022,-588.118,9281.952,23111.573,234479.855,25.883,17328.648,84.504,2552.667,10188.828,10188.828,306654.61999999994
12-2022,-626.792,2210.44,26769.899,251184.961,100.989,15536.158,77.099,2940.637,10413.6255,10413.6255,319020.64200000005
01-2023,-727.718,5017.929,49385.1,236334.141,0.0,18539.918,93.609,3048.152,7361.8245,7361.8245,326630.50999999995
02-2023,-706.973,15008.727,32328.427,250507.491,0.0,22493.357,135.998,3001.583,9829.886,9829.886,342611.62200000003
03-2023,-518.34,6219.292,34532.92,233282.42,215.73,35774.521,112.308,3577.315,9637.882,9637.882,332456.55
04-2023,-608.66,7134.449,29442.58,207738.203,183.24,38851.148,73.99,3617.922,10657.33,10657.33,307691.63700000005
05-2023,-832.969,12707.01,35218.072,231475.462,200.35,34004.562,90.163,3517.302,12228.6005,12228.6005,340886.454
06-2023,3179.956,20755.148,56449.231,269550.103,127.345,36423.404,84.139,3789.162,15597.6535,15597.6535,421482.63
07-2023,54925.434,57618.449,67064.258,316355.046,249.651,41343.388,37.238,3244.603,12541.1815,12541.1815,565789.3439999999
08-2023,9023.219,64924.531,53415.242,324376.965,56.18,44374.34,26.629,3740.057,14683.114,14683.114,529345.132
09-2023,-823.378,32782.569,49271.727,296322.928,118.565,34511.638,31.859,3104.663,9934.0825,9934.0825,435070.17100000003
10-2023,-827.249,16979.833,44274.278,247112.684,97.921,32549.161,39.588,1729.494,10860.91,10860.91,363589.9689999999
11-2023,-895.425,5997.498,24187.602,224261.242,10.36,23299.289,72.841,3461.743,10810.194,10810.194,302013.9060000001
12-2023,-695.865,5658.661,22604.487,233914.94,8.728,21722.789,105.384,3843.173,8991.8355,8991.8355,305137.24
