Fecha,Hidráulica,Turbinación bombeo,Carbón,Ciclo combinado,Eólica,Solar fotovoltaica,Solar térmica,Otras renovables,Cogeneración,Generación total,Residuos no renovables
07-2020,97704.613,13639.422,519.001,1476888.164,584489.962,404527.634,326152.829,113544.827,447515.417,3464981.8690000004,0.0
08-2020,84337.254,12493.323,-4654.476,1185049.302,463431.146,389370.383,310020.222,137262.114,429955.543,3007264.811,0.0
09-2020,42483.781,10356.813,-4404.805,832083.501,645826.847,305996.53,190018.735,152802.778,433710.578,2608902.6960000005,0.0
10-2020,17755.557,20564.66,-5687.983,545873.84,550722.162,320269.742,161620.57,155135.424,435778.873,2202032.845,1.158
11-2020,9664.39,14076.728,-5149.461,594748.166,596831.057,210784.183,59885.897,156832.601,431204.432,2068877.993,27.938
12-2020,19656.556,28589.162,-5114.72,616817.7,640398.885,183507.791,39774.681,157685.825,425010.116,2106332.2240000004,6.228
01-2021,35682.265,30400.208,112564.883,480685.396,605060.374,213710.908,53930.207,150906.426,399848.588,2084017.9409999999,1228.686
02-2021,46985.569,36845.026,-4912.44,250961.3,721153.394,231989.192,62025.987,129208.663,327368.765,1801940.701,315.245
03-2021,45394.407,25110.958,-5269.174,423945.186,604386.731,408278.78,158688.61,107567.418,368984.921,2137952.9000000004,865.063
04-2021,39624.225,12134.914,-4836.49,655002.288,565654.657,402297.899,111872.759,130440.554,374840.748,2287945.954,914.4
05-2021,66090.316,20042.144,-5279.069,490979.629,592828.424,556125.915,281104.125,126093.849,373844.914,2502738.3479999998,908.101
06-2021,63825.421,11320.083,-5148.251,827050.052,456862.149,561098.376,283610.94,126218.857,380192.85,2706110.759,1080.282
07-2021,69788.766,5220.763,-4734.999,670049.808,601270.327,591088.049,336868.959,124869.152,379512.34,2775043.157,1109.992
08-2021,56318.901,8099.219,-5079.728,699854.113,380676.358,528290.277,259564.706,134576.658,391142.784,2461380.2189999996,7936.931
09-2021,28124.341,5866.501,-4936.358,940995.115,425373.223,432330.446,194498.853,120565.954,376322.663,2523803.2320000003,4662.494
10-2021,14829.391,7581.463,101485.15,846737.502,646288.366,405044.314,140754.854,138929.136,380473.3,2684693.198,2569.722
11-2021,11331.529,12425.703,-5129.667,1252084.265,532630.675,325035.538,76784.57,155261.425,387912.995,2749345.4839999997,1008.451
12-2021,15024.074,22060.083,-3273.723,850446.681,847548.65,260350.973,56211.258,170548.746,400063.438,2623690.287,4710.107
01-2022,14380.273,11980.856,23230.533,1109580.513,867923.082,334472.199,76579.156,164619.789,393321.244,2997434.904,1347.259
02-2022,7957.025,15661.778,101223.785,706093.836,571513.82,365691.675,84646.083,149697.583,370477.832,2374239.7050000005,1276.288
03-2022,20461.183,14849.594,159820.995,440036.689,650491.414,327020.37,46969.596,170776.315,375500.629,2207850.424,1923.639
04-2022,37744.073,14892.501,135263.67,461105.372,573289.909,530140.885,171967.44,158971.909,304722.286,2391242.877,3144.832
05-2022,52112.325,18759.744,61518.449,518507.049,634651.148,665598.545,274983.416,133665.524,319181.603,2681457.7790000006,2479.976
06-2022,42904.819,17559.205,211188.263,1520729.939,484786.443,663156.066,269109.78,145496.73,197019.856,3554150.173000001,2199.072
07-2022,41749.905,17084.205,288991.623,2007017.244,664545.296,688375.19,321201.387,150502.142,137632.955,4318790.925,1690.978
08-2022,32148.312,27951.334,244071.298,2260184.781,466962.449,649499.707,259570.025,142238.88,110330.082,4194843.916999999,1887.049
09-2022,17294.611,30812.115,253251.214,2098079.841,409964.751,563835.263,195630.311,129655.682,125771.636,3826083.7919999994,1788.368
10-2022,7020.605,23423.342,61406.021,1799364.72,601505.51,430913.299,69652.749,127031.273,171700.979,3293921.7469999995,1903.249
