Fecha,Hidráulica,Turbinación bombeo,Eólica,Solar fotovoltaica,Otras renovables,Cogeneración,Generación total,Residuos no renovables,Residuos renovables
06-2017,9626.879,20083.551,2906.197,186.796,7064.926,86194.941,132878.66400000002,3407.687,3407.687
07-2017,8862.651,13143.02,3172.554,203.198,6327.045,94066.868,132833.95700000002,3529.3105,3529.3105
08-2017,3858.954,28784.56,3645.445,192.951,7391.821,73476.743,123495.921,3072.7235,3072.7235
09-2017,3994.312,26602.82,3329.527,172.29,7204.197,86556.846,134422.302,3281.155,3281.155
10-2017,5182.987,32420.33,5497.439,147.693,7382.216,92730.749,150161.397,3399.9915,3399.9915
11-2017,15546.776,35702.548,8798.808,104.627,7187.613,102845.945,177059.545,3436.614,3436.614
12-2017,39419.559,44494.216,6188.744,69.981,7114.52,142533.901,246872.58700000006,3525.833,3525.833
01-2018,39255.272,38233.998,7810.512,76.458,7228.941,138510.01,233888.374,1386.5915,1386.5915
02-2018,41183.659,27188.343,5391.243,82.254,3758.081,121141.629,203986.89700000006,2620.844,2620.844
03-2018,48656.976,46007.85,11191.913,157.039,7293.661,100329.964,220415.96800000002,3389.2825,3389.2825
04-2018,45923.753,43496.3,7664.437,171.074,7044.733,108125.715,218895.80699999997,3234.8975,3234.8975
05-2018,35523.46,22458.28,2950.32,210.905,7268.877,91355.67,166410.555,3321.5215,3321.5215
06-2018,35540.517,15164.22,2277.133,192.851,7089.07,119004.476,185605.50799999997,3168.6205,3168.6205
07-2018,20360.29,6357.86,1070.467,181.529,7261.564,116412.371,158115.74700000003,3235.833,3235.833
08-2018,2021.39,13718.57,1611.751,210.612,7188.687,135608.957,167213.988,3427.0105,3427.0105
09-2018,6405.119,7342.73,2435.907,173.027,6663.841,116914.11,146595.68300000002,3330.4745,3330.4745
10-2018,8903.343,25723.42,6628.862,132.749,7294.709,124319.255,179608.1,3302.881,3302.881
11-2018,20923.692,23063.62,11044.519,108.431,6642.381,82016.055,149423.10799999995,2812.205,2812.205
12-2018,14454.42,22933.96,6794.89,82.476,6925.14,125885.025,183487.53299999997,3205.811,3205.811
01-2019,18324.586,16882.0,5866.649,72.563,7329.449,144174.534,199633.114,3491.6665,3491.6665
02-2019,33896.027,30091.779,7484.663,147.208,4915.641,133685.484,216429.045,3104.1215,3104.1215
03-2019,20897.705,22099.74,6076.595,223.291,4988.758,117778.988,179039.805,3487.364,3487.364
04-2019,18934.539,25433.861,7105.364,205.894,6202.597,134846.52,198188.47900000002,2729.852,2729.852
05-2019,16525.627,25035.4,5754.385,248.167,6463.383,143691.111,204728.91400000002,3505.4205,3505.4205
06-2019,12824.067,10108.79,4296.882,229.48,6214.583,139493.03,179927.86699999997,3380.5175,3380.5175
07-2019,9794.195,4075.36,2413.11,243.172,6304.203,134960.59,164657.668,3433.519,3433.519
08-2019,5418.636,11780.93,2399.185,214.338,6447.88,128389.275,161507.766,3428.761,3428.761
09-2019,7280.188,21025.01,5213.13,198.345,5977.142,119424.295,165849.82799999998,3365.859,3365.859
10-2019,14203.371,19296.85,8345.171,143.967,6039.361,137862.064,192842.84700000004,3476.0315,3476.0315
11-2019,33469.68,32693.93,10825.523,63.824,6002.143,129726.659,214868.622,1043.4315,1043.4315
12-2019,38335.339,41888.29,7131.698,83.764,6024.545,119301.851,219704.14599999998,3469.3295,3469.3295
01-2020,17217.348,24770.6,7950.637,96.596,6517.083,125140.589,188774.048,3540.5975,3540.5975
02-2020,13735.378,24337.19,6888.136,145.21,5852.967,85548.539,143122.93099999998,3307.7555,3307.7555
03-2020,19071.777,34198.05,6362.832,186.698,4479.663,38221.105,109484.851,3482.363,3482.363
04-2020,27640.193,45319.529,7338.098,188.535,6854.239,36166.132,129609.89100000002,3051.5825,3051.5825
05-2020,15828.688,37746.69,3771.057,259.88,7105.815,61517.358,132759.318,3264.915,3264.915
06-2020,10297.485,24265.511,2525.293,237.966,6914.823,53428.703,104475.39599999998,3402.8075,3402.8075
