Fecha,Hidráulica,Turbinación bombeo,Nuclear,Fuel + Gas,Ciclo combinado,Eólica,Solar fotovoltaica,Solar térmica,Otras renovables,Cogeneración,Residuos no renovables,Residuos renovables,Generación total
12-2017,163784.623,21764.937,2187001.107,0.0,680420.719,377792.793,17610.808,4136.15,15627.119,459217.609,14485.407,13455.28,3955296.552
01-2018,245093.447,16566.886,2265984.607,0.0,604248.518,368720.504,21162.608,6299.366,17683.254,480460.154,13915.117,13240.183,4053374.644000001
02-2018,246563.883,1938.931,2052451.913,0.0,564689.677,289009.675,21451.94,6183.41,17132.436,383073.569,12186.293,11320.563,3606002.2900000005
03-2018,416163.444,15060.858,1485474.68,0.0,462645.614,379380.028,34281.471,6450.275,15759.026,422172.637,12741.8855,11818.8965,3261948.8149999995
04-2018,624780.412,5057.92,1431154.691,0.0,422834.245,191760.503,36997.679,4435.447,14406.403,442130.977,12993.0275,12707.3205,3199258.625
05-2018,773600.547,4809.434,1378356.068,0.0,570222.506,205877.187,39693.314,5734.24,17030.203,449288.182,5521.6435,4634.3575,3454767.682
06-2018,786277.592,1901.585,1312219.648,0.0,582066.838,159870.289,43466.441,9905.931,15413.063,434841.363,8332.2745,7663.1145,3361958.139
07-2018,532524.933,1460.678,1513400.045,0.0,650222.144,176182.011,47692.976,10732.236,12199.015,443404.288,9403.727,8953.289,3406175.3419999997
08-2018,355786.184,124.453,2207061.01,0.0,625943.37,153850.155,42075.264,10133.222,10156.507,436732.605,10149.1205,9790.2975,3861802.188
09-2018,294590.72,411.404,2139159.436,0.0,567469.929,97863.571,35722.958,6345.16,12423.973,433599.544,9951.8285,9590.8065,3607129.33
10-2018,289776.639,3956.322,2231071.339,0.0,563385.397,230296.137,27253.382,2617.758,12619.649,464390.953,10486.043,9871.243,3845724.862
11-2018,445774.3,2746.019,1641929.026,0.0,807140.813,181991.77,17829.892,3387.805,13074.031,465074.055,9659.4905,8774.2485,3597381.45
12-2018,368330.601,339.386,1341054.992,0.0,715734.181,274667.049,16737.469,4380.775,12763.858,460198.681,12542.2325,11689.6935,3218438.918
01-2019,254632.493,4316.877,2146622.714,0.0,865749.671,445534.857,21726.082,5874.725,13917.103,503862.814,11810.245,11091.128,4285138.709
02-2019,280915.127,7170.201,2052010.092,0.0,556391.699,207713.901,31230.84,1035.487,12452.348,430492.715,11245.7755,10639.2895,3601297.475
03-2019,264679.209,9313.754,2261924.122,0.0,419640.103,250175.771,40875.503,1918.208,13688.895,490411.15,11844.0425,11289.9715,3775760.7290000003
