"","Hidráulica","Turbinación bombeo","Eólica","Solar fotovoltaica","Otras renovables","Cogeneración","Generación total"
"116",275578.849,30364.126,896294.431,249442.868,49220.397,99836.727,1600737.398
"117",589962.693,13568.659,908417.959,203378.696,35925.191,46838.491,1798091.689
"118",106594.813,16289.865,1347700.59,145970.135,53077.646,116749.491,1786382.54
"119",248528.751,49645.032,1543056.427,97979.936,45710.02,182408.697,2167328.863
"120",746427.337,90670.994,1515102.741,62074.794,33189.093,132503.219,2579968.178
"121",1095708.81,124162.876,1544385.733,103261.849,37191.928,131345.49,3036056.686
"122",694364.416,37331.166,937632.905,162522.889,47707.082,189857.95,2069416.408
"123",457645.259,133935.004,1550498.375,216082.747,34930.301,196471.639,2589563.325
"124",313328.012,148471.504,1022160.898,287107.239,42079.123,187742.492,2000889.268
"125",282204.69,95194.223,1204328.465,289258.477,49435.424,198473.547,2118894.826
"126",541962.418,27663.974,593660.303,271396.602,40721.366,192504.583,1667909.246
"127",362916.169,34258.234,763812.009,342683.544,55613.053,174254.527,1733537.536
"128",287609.633,57542.76,787869.047,318849.138,53631.275,153720.785,1659222.638
"129",286537.76,80367.261,744890.503,224701.709,48262.525,161846.696,1546606.454
"130",347014.693,119678.471,1489591.266,170776.332,50829.943,155069.569,2332960.274
"131",914187.081,86130.362,1705108.732,115220.814,43134.423,106524.668,2970306.08
"132",1003893.486,93461.062,1221789.961,97547.098,51871.271,104862.981,2573425.859
