"","Hidráulica","Turbinación bombeo","Ciclo combinado","Eólica","Solar fotovoltaica","Otras renovables","Cogeneración","Residuos no renovables","Generación total"
"98",306758.08,36397.197,-1358.179,830282.066,62253.228,2855.09,181884.319,22734.52,1441806.321
"99",270285.922,39384.988,2320.652,1141945.948,129577.571,3613.655,238329.325,27755.805,1853213.866
"100",235923.132,17440.895,1713.502,773997.346,181407.039,4175.863,250696.272,32606.121,1497960.17
"101",289607.81,15399.587,-1132.467,738724.988,258720.47,4260.807,245100.181,29217.812,1579899.188
"102",275771.771,6180.607,19919.22,577510.594,228310.004,3787.998,236344.085,30059.868,1377884.147
"103",226436.584,7592.01,6271.719,868237.682,260014.917,4691.78,243986.092,33075.465,1650306.249
"104",178880.721,18499.966,-1345.669,724809.078,235912.585,4241.46,223824.311,33938.813,1418761.265
"105",122543.897,2922.357,64663.551,498674.278,176600.248,4223.832,248530.951,23009.943,1141169.057
"106",111800.572,14327.408,106436.384,657321.514,162376.008,4581.506,245733.525,34473.392,1337050.309
"107",102818.548,18457.607,431766.033,1431317.856,112936.043,4136.553,234813.359,27148.786,2363394.785
"108",300180.331,16400.944,294697.716,959606.523,64895.141,3940.561,240477.36,25444.019,1905642.595
"109",228069.921,18868.963,244541.514,933056.506,142241.661,4388.265,213928.864,26115.551,1811211.245
"110",155261.888,13283.718,363795.421,1000502.417,147710.83,4415.547,214539.637,29186.74,1928696.198
"111",178212.848,16934.131,97269.652,1064277.926,127234.057,5495.125,232830.254,34201.031,1756455.024
"112",260406.525,14311.539,103219.764,1148854.476,274418.748,4276.64,135706.039,17683.061,1958876.792
"113",381482.106,24050.388,143067.642,941266.162,362063.79,4228.056,169180.299,12840.759,2038179.202
"114",231982.171,7773.856,395631.205,684507.108,370581.568,3738.831,156506.797,11132.931,1861854.467
"115",169921.127,17218.618,342405.546,708484.921,393214.976,4199.793,134072.222,24930.783,1794447.986
"116",142520.561,34058.714,321098.264,709830.971,345228.422,3078.285,83814.642,15234.784,1654864.643
"117",102443.511,15002.465,259591.773,794163.728,277593.937,3306.435,47089.309,14217.585,1513408.743
"118",112200.293,32377.369,141918.903,572679.517,186013.756,4210.311,108212.271,16268.182,1173880.602
"119",107823.233,19693.778,267428.165,1000839.799,132103.134,3900.821,131647.659,16272.432,1679709.021
"120",129036.554,37653.534,195374.779,643134.759,99299.887,3253.287,105408.051,12111.055,1225271.906
"121",136497.938,34741.359,22120.766,1614538.718,142217.739,3369.58,124567.228,12836.85,2090890.178
"122",142895.795,19870.946,286337.944,647693.224,205917.849,3882.155,140743.885,12614.528,1459956.326
"123",195311.372,26822.458,142380.622,1156474.321,312663.144,4304.277,152373.136,20070.182,2010399.512
"124",181340.971,29603.894,27168.619,1006824.51,383961.211,3876.493,153079.963,15254.358,1801110.019
"125",171894.803,19596.821,131065.243,1369951.229,427715.397,4282.371,175407.971,7799.516,2307713.351
"126",245917.702,16536.523,294548.67,651484.063,401045.362,4627.359,187885.092,22098.18,1824142.951
"127",186750.698,17890.413,281704.911,874266.144,529532.728,4405.067,161738.8,20873.277,2077162.038
"128",127313.17,29154.746,232330.713,942996.782,469705.706,2595.931,112418.01,19072.932,1935587.99
"129",119489.025,6860.454,313272.112,479995.212,344620.6,2363.777,108319.813,17835.448,1392756.441
"130",155694.01,23877.365,79426.379,753832.405,274689.089,2384.579,87421.968,16930.661,1394256.456
"131",278522.128,33760.987,98863.238,1351550.713,208415.117,2056.017,74101.263,16574.985,2063844.448
"132",351319.721,32493.348,102113.273,1153959.11,182498.582,1824.401,77983.275,10726.77,1912918.48
