"","Hidráulica","Turbinación bombeo","Carbón","Ciclo combinado","Eólica","Solar fotovoltaica","Otras renovables","Cogeneración","Residuos no renovables","Residuos renovables","Generación total"
"123",695367.032,23868.715,147651.135,135262.143,1214148.924,1777.746,29566.064,105153.134,13928.3325,13928.3325,2380651.558
"124",486594.744,27816.978,46492.734,301880.806,567250.397,2358.592,22556.143,106537.124,15792.1785,15792.1785,1593071.875
"125",393713.43,18220.611,8185.351,348852.937,824068.386,2668.013,35797.363,98257.468,1991.9325,1991.9325,1733747.424
"126",370069.767,4222.343,-3138.277,474680.851,330309.113,2424.725,34723.717,98923.799,11093.5505,11093.5505,1334403.139
"127",143148.917,21925.942,36484.667,400858.557,388758.61,2803.155,32095.605,102633.056,15943.8365,15943.8365,1160596.182
"128",120356.367,21165.217,158147.897,365460.394,458763.832,2588.077,37422.276,81161.131,14393.964,14393.964,1273853.119
"129",148930.564,25077.272,140290.126,320508.441,566286.286,1937.234,22451.14,96003.341,16421.367,16421.367,1354327.138
"130",538137.194,23429.499,16074.061,319667.148,989274.028,1326.464,35913.332,72237.454,16899.136,16899.136,2029857.452
"131",1491632.316,6480.943,-1700.105,229106.438,1024962.942,794.114,28262.378,72741.41,12181.374,12181.374,2876643.184
"132",1567829.112,12136.971,-1418.727,233356.18,899129.215,768.004,24756.775,90071.707,14236.0375,14236.0375,2855101.312
