Fecha,Hidráulica,Solar fotovoltaica,Otras renovables,Cogeneración,Residuos no renovables,Residuos renovables,Generación total
05-2021,8455.222,9294.889,15235.443,52782.475,6281.27,6281.27,98330.569
06-2021,10519.844,9123.747,14541.792,66030.066,6866.485,6866.485,113948.41900000001
07-2021,11175.877,10106.43,14197.692,74347.254,6399.558,6399.558,122626.369
08-2021,11293.412,9325.536,13566.525,67525.302,2845.0535,2845.0535,107400.88199999998
09-2021,6847.758,7117.108,13789.603,59956.512,6357.6465,6357.6465,100426.274
10-2021,4728.201,6518.099,15370.066,69846.017,7568.858,7568.858,111600.09900000002
11-2021,3614.52,4832.764,14372.295,71271.35,7363.8455,7363.8455,108818.62
12-2021,4046.756,3622.212,15386.281,67913.507,7371.3225,7371.3225,105711.40099999998
01-2022,4077.551,5110.455,15856.78,61051.226,7723.3295,7723.3295,101542.671
02-2022,3623.382,5394.748,14385.617,52249.645,7098.946,7098.946,89851.28399999999
03-2022,6133.847,4374.643,15123.059,66661.895,7537.0955,7537.0955,107367.635
04-2022,10487.369,7797.669,14457.377,44475.473,6795.794,6795.794,90809.476
05-2022,11478.368,9522.299,15230.653,51522.379,5065.088,5065.088,97883.875
06-2022,11473.97,9332.311,12384.953,48177.192,5859.225,5859.225,93086.87600000002
07-2022,12039.887,9872.491,12195.342,49201.62,4984.439,4984.439,93278.218
08-2022,9481.739,9198.336,12352.94,20548.443,2866.37,2866.37,57314.198000000004
09-2022,5276.139,7765.59,11615.309,20715.765,4822.8295,4822.8295,55018.462
10-2022,2613.965,5503.835,12696.356,16921.321,6526.538,6526.538,50788.553
11-2022,2654.629,3949.986,12183.234,17117.907,5394.3,5394.3,46694.35600000001
12-2022,5467.745,2331.971,12381.86,21553.299,6441.1725,6441.1725,54617.22
01-2023,12431.437,4464.463,11881.086,31761.564,6871.7065,6871.7065,74281.963
02-2023,8575.886,5546.973,13368.215,43772.159,5903.882,5903.882,83070.997
03-2023,6620.715,7970.372,12769.817,41681.416,6660.2395,6660.2395,82362.79899999998
04-2023,6372.79,9196.048,11324.589,35598.937,6715.275,6715.275,75922.91399999999
05-2023,5664.517,8852.11,11872.312,50190.682,6482.415,6482.415,89544.45099999999
06-2023,6891.109,8528.286,11783.18,51589.628,5303.7735,5303.7735,89399.74999999999
07-2023,10575.969,21206.736,11839.844,31095.206,5497.432,5497.432,85712.619
08-2023,9392.096,23426.581,11387.551,25301.823,1974.1205,1974.1205,73456.292
09-2023,2662.358,18913.375,12687.131,32635.995,2172.2575,2172.2575,71243.37400000001
10-2023,3152.372,15192.552,13293.064,26804.012,6749.9815,6749.9815,71941.963
11-2023,8375.358,10961.895,11794.663,26498.898,6095.8705,6095.8705,69822.555
12-2023,10434.955,10504.462,12667.869,23939.783,7268.034,7268.034,72083.137
