Fecha,Hidráulica,Turbinación bombeo,Nuclear,Carbón,Ciclo combinado,Eólica,Solar fotovoltaica,Solar térmica,Otras renovables,Cogeneración,Generación total
04-2019,66665.149,5855.16,714692.388,0.0,152028.89,830498.321,148760.584,50141.503,21033.68,99685.31,2089360.985
05-2019,64692.345,6597.543,209111.218,0.0,110475.056,557814.719,208269.494,99932.783,23410.206,117742.026,1398045.3900000001
06-2019,48251.199,1527.281,493808.004,0.0,154459.196,593152.913,210878.814,111991.519,20891.508,110224.973,1745185.407
07-2019,59170.406,0.064,731493.076,0.0,134265.413,567609.852,205256.022,105120.221,24602.275,108032.082,1935549.4109999998
08-2019,51212.644,198.024,732457.846,0.0,115305.364,395720.567,216217.09,107288.293,22879.467,111018.709,1752298.0040000002
09-2019,47172.254,3333.824,707745.093,0.0,126117.008,504160.387,178864.707,58392.406,21157.323,107725.346,1754668.348
10-2019,24349.004,5735.384,735320.861,0.0,169268.73,530463.773,166911.609,39471.469,22637.149,112397.832,1806555.811
11-2019,24587.189,9463.68,712208.67,0.0,123480.513,1450603.674,106311.443,9268.323,23358.473,108637.958,2567919.9230000004
12-2019,46057.884,9154.184,710697.795,0.0,98079.628,824847.26,96228.184,4738.04,27306.579,98446.743,1915556.297
01-2020,42837.007,0.0,736296.024,13210.451,178484.577,609470.64,124733.244,9914.829,22558.459,97839.873,1829239.6279999996
02-2020,41127.482,0.0,679844.377,11958.459,113295.825,428947.467,180871.14,28077.684,28162.871,82225.083,1593888.351
03-2020,74834.96,0.0,722133.86,-2914.375,71670.244,869059.177,206472.401,31005.43,37175.678,96172.18,2110585.844
04-2020,84727.773,7104.975,613602.373,-2351.825,100945.951,505277.673,232128.58,29648.088,39401.13,87669.189,1698270.837
05-2020,81019.221,11336.422,383675.772,52884.654,64893.894,542464.047,323756.067,70197.939,46921.937,98738.932,1611941.249
06-2020,76267.721,2061.914,225654.282,117123.066,156277.507,524431.112,376355.772,89581.588,47535.038,98496.234,1594599.2859999998
07-2020,73644.057,4870.08,729776.607,180484.229,298171.147,459931.195,389875.803,106774.165,45051.821,90928.647,2194153.489
08-2020,70583.172,273.44,730814.795,81893.924,247919.434,434294.979,377898.344,104192.995,44728.144,77701.949,2088133.8610000003
09-2020,42371.251,0.032,709692.609,132257.009,284321.98,520800.002,296058.927,62579.541,44177.103,88314.133,2049202.506
10-2020,30150.68,0.047,736457.271,65642.407,124365.416,734994.818,264718.507,44254.685,40519.955,100993.675,2076455.0070000002
11-2020,33507.403,0.049,712471.3,11101.273,279641.389,453348.283,158155.565,11889.641,48471.791,102351.846,1799837.218
12-2020,41917.384,886.96,736285.339,115692.88,130076.604,1085171.316,151385.184,9296.278,44179.225,100512.939,2298824.269
01-2021,65930.749,0.0,720692.572,18014.26,116814.953,1039601.3,147622.462,12293.822,42421.016,101801.234,2247178.108
02-2021,107799.992,0.0,396159.841,-2387.303,42780.951,822550.306,179416.838,21885.85,42108.756,76240.255,1688942.7889999999
03-2021,72057.474,1130.627,736700.002,-2702.499,53847.405,615884.455,279107.051,34415.726,47838.781,93453.57,1934435.091
04-2021,88528.372,143.936,712853.119,-2328.63,97349.898,463462.145,263484.831,38516.129,40034.14,90343.847,1794716.417
05-2021,84699.337,229.193,350579.505,125891.38,94023.173,619434.686,418758.771,86040.151,48490.878,101621.936,1803877.63
06-2021,74257.308,7.138,132377.841,135124.451,71528.848,484890.893,412116.956,86656.674,42484.133,110771.233,1415091.0239999997
07-2021,68318.271,27.932,726251.979,134242.496,42539.587,528758.071,475133.436,120940.042,49601.009,97932.737,2109503.0640000002
08-2021,53936.446,2.957,726458.213,92497.181,54250.145,451939.404,421491.823,90600.421,46938.27,109918.055,1955535.734
09-2021,51631.927,562.962,706645.238,129840.481,95378.457,386811.239,361543.157,60921.652,47897.663,114852.226,1826244.521
10-2021,27011.151,6306.873,733610.069,9978.835,102436.686,409796.775,325402.741,41716.972,48665.902,108763.937,1803711.106
11-2021,37958.265,7835.888,710798.923,101344.116,222415.72,801762.851,255340.98,21788.45,46456.778,106121.189,2210479.0439999998
12-2021,58865.234,1410.057,734234.517,133532.412,124787.862,1059295.771,207826.832,10534.448,52600.684,92173.477,2341728.8819999998
01-2022,55035.319,1088.691,733435.511,155689.323,185993.049,645175.844,329088.845,24902.494,50765.934,90250.338,2115736.025
02-2022,26763.874,5506.393,663821.016,69675.939,114997.175,509590.254,346135.526,29835.811,44332.096,95644.364,1836626.509
03-2022,49814.405,5380.773,734052.704,102123.243,130945.76,1037671.393,269172.052,12364.627,50378.069,82690.007,2372469.7900000005
04-2022,47282.156,13005.503,710131.014,91221.623,111680.654,793368.818,531224.253,55218.601,48246.641,38334.938,2348492.5779999997
05-2022,45442.198,8402.591,303376.487,116406.259,101547.483,557015.526,745329.805,81133.389,44114.525,45869.921,1932231.9249999998
06-2022,56671.724,1291.067,197462.544,170227.242,149845.727,491814.051,701254.39,61319.507,43013.316,22000.994,1724673.32
07-2022,66788.407,64.285,719555.05,112795.064,100831.598,493131.324,719517.841,64451.973,43549.424,7508.977,2215398.879
08-2022,56317.215,2928.24,724423.494,80929.843,94848.289,622851.108,718096.311,62187.536,42829.003,1738.223,2326219.4189999998
09-2022,41878.333,5264.722,704997.77,-1302.075,156050.826,535001.121,626393.503,58439.027,40252.829,1713.497,2169991.628
10-2022,23853.524,14881.008,730234.718,-868.993,142817.422,549741.964,445259.275,23328.75,39531.616,31312.601,2000960.8779999998
11-2022,24506.084,11464.56,707154.039,-924.94,80991.048,1178869.746,328974.463,13155.229,31898.879,60193.813,2437207.861
12-2022,61402.096,13273.728,732935.047,-1043.968,101025.33,853305.546,220720.039,6581.571,27590.389,38668.737,2055502.4829999998
01-2023,56905.379,15666.68,684003.019,0.0,136013.318,993826.608,352637.845,11846.221,26387.311,47410.656,2324697.037
02-2023,57445.456,629.051,661664.354,0.0,185293.931,779313.352,422530.146,26383.245,31605.456,67047.267,2231912.258
03-2023,62990.113,4525.454,720844.479,0.0,151544.536,952855.979,610479.543,59263.659,22343.091,60709.085,2645555.9390000002
04-2023,53195.012,7902.935,689020.77,0.0,74453.925,671838.061,764994.229,75732.663,27385.304,52899.165,2417422.0640000002
05-2023,54295.045,4127.719,534302.659,0.0,16040.748,537886.446,837102.798,59687.752,35293.715,72480.823,2151217.705
06-2023,51823.757,2542.616,155638.137,0.0,-1079.22,390321.823,894057.509,64381.064,32000.453,54742.063,1644428.202
07-2023,40161.285,4564.199,723808.989,0.0,39160.938,594273.625,1136642.81,97877.96,27712.615,39318.243,2703520.664
08-2023,40144.952,5756.792,725210.591,0.0,52317.987,560679.621,1110998.098,100630.337,33702.939,39475.094,2668916.411
09-2023,51900.374,2000.156,704673.012,0.0,111623.198,578577.357,813320.935,50287.663,23039.785,55341.214,2390763.6940000006
10-2023,40100.105,9468.456,730731.13,0.0,107462.801,920251.108,652045.042,27120.562,9485.237,42420.863,2539085.304
11-2023,44382.985,6113.784,659726.503,-1100.771,165341.618,1139783.667,465815.59,3171.874,5158.66,31292.981,2520787.662
12-2023,59948.024,6680.432,732957.28,-904.31,141552.842,898139.664,450116.542,6217.799,7612.896,42059.177,2345284.6560000004
