"","Hidráulica","Ciclo combinado","Eólica","Solar fotovoltaica","Solar térmica","Otras renovables","Cogeneración","Generación total"
"105",9516.188,514977.865,23505.07,177982.873,3100.197,3315.853,123162.957,855561.003
"106",7692.472,337689.165,19989.18,154130.84,2143.555,3266.095,102323.224,627234.531
"107",5692.786,771679.181,57900.385,125634.468,1308.514,2672.051,116032.451,1080919.836
"108",4910.772,668155.974,61787.66,98776.197,876.398,2955.562,156936.768,994399.331
"109",5307.576,661912.41,37371.563,121389.317,1344.878,4013.074,146003.556,977342.374
"110",5192.061,652802.017,30099.347,139871.665,1824.616,3880.055,138716.657,972386.418
"111",6268.848,510923.838,70690.231,97331.106,794.042,4224.553,156550.989,846783.607
"112",5123.456,413686.091,56901.089,182266.975,3181.284,3838.644,129139.889,794137.428
"113",6862.081,415852.432,24590.961,251554.727,5908.564,3796.359,125131.448,833696.572
"114",8399.321,607066.75,18800.521,255527.569,6060.024,3262.061,112745.482,1011861.728
"115",10963.346,1040486.048,16184.727,255488.316,5987.657,2920.084,79811.972,1411842.15
"116",11771.347,1045677.988,22179.331,237761.815,5222.038,2968.22,80701.361,1406282.1
"117",10171.566,772372.378,23326.176,188893.123,3395.955,3154.238,52572.93,1053886.366
"118",4248.752,763319.797,12050.964,153403.055,1204.168,2897.062,53683.588,990807.386
"119",3121.981,442277.156,62794.248,128101.524,978.98,2029.512,57330.527,696633.928
"120",3257.225,465413.159,35526.399,98982.015,530.291,2671.476,46979.505,653360.07
"121",3626.343,330021.654,56051.534,136931.168,1259.723,2356.086,76614.473,606860.981
"122",3584.451,419969.253,32515.969,122610.801,1077.041,2930.354,103863.871,686551.74
"123",7660.851,377171.393,45719.137,213457.822,4024.465,1779.373,114205.258,764018.299
"124",8870.874,339676.873,34236.671,232050.7,5454.147,1829.883,99853.351,721972.499
"125",7052.074,425507.163,23283.292,213245.069,3026.052,3340.794,118354.377,793808.821
"126",5944.677,405933.39,13183.41,237038.008,4198.788,3500.168,116409.768,786208.209
"127",10531.654,467910.513,16512.362,248116.98,4680.565,2030.679,105914.381,855697.134
"128",9938.869,574994.699,19419.695,254277.481,5762.117,1941.943,78219.583,944554.387
"129",7533.149,470577.035,20549.406,192258.425,2936.607,1764.647,77396.103,773015.372
"130",6350.687,409047.623,34068.469,174729.973,2444.086,1913.657,83622.681,712177.176
"131",5820.84,278935.692,57036.66,150629.892,1374.016,1973.453,74655.762,570426.315
"132",5055.652,299586.05,47375.335,125967.547,1058.044,2148.835,94572.631,575764.094
